suspected_cat,ip_range,count,country,asn_name,asn_num,sample_banner
Pornography,103.13.66.0/24,13,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns1&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,103.254.166.0/24,8,AF,Asix,132707,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,137.59.120.0/24,8,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.136.0/24,9,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns1&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.137.0/24,1,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 370\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=mzr-msc-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.138.0/24,11,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns1&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.139.0/24,3,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.140.0/24,9,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Pornography,180.222.142.0/24,19,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 372\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=32&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fdenypagetests%2enetsweeper%2ecom%2fcategory%2fcatno%2f32"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
Web Proxy,180.222.136.0/24,1,AF,Etisalat Afghan,131284,"HTTP/1.0 200 OK\r\nPragma: no-cache\r\nCache-Control: no-cache\r\nContent-Length: 330\r\nContent-Type: text/html\r\n\r\n<iframe src=""http://180.222.138.78:8080/webadmin/deny/?dpid=26&dpruleid=102&cat=23&ttl=-200&groupname=default&policyname=default&username=-&userip=X.X.X.X&connectionip=127.0.0.1&nsphostname=kbl1-msc1-ns2&protocol=policyprocessor&dplanguage=-&url=http%3a%2f%2fzcdn3%2exyz%2f"" width=""100%"" height=""100%"" frameborder=0></iframe>'"
